model,trouble_id,trouble_label,lcd_error_message,meaning,what_to_do
HP1505N,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP1505N,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP2035,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP2035,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP2035,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP2035,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP2035,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP2035,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP2035,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP2035,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP2035,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP2035,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP2035,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP2035,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP2035,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP2035,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP2540,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP2540,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP2540,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP2540,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP2540,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP2540,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP2540,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP2540,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP2540,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP2540,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP2540,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP2540,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP2540,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP2540,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP4250,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP4250,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP4250,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP4250,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP4250,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP4250,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP4250,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP4250,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP4250,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP4250,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP4250,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP4250,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP4250,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP4250,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP4345,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP4345,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP4345,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP4345,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP4345,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP4345,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP4345,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP4345,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP4345,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP4345,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP4345,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP4345,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP4345,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP4345,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
INK BUYER,102,Others,Not a machine model,"This database value is a label/placeholder, not a printer/copier model.",Clean the database value or map it to an actual model before using error-code lookup.
INKJET MFC-J3930DW,49,Jamming,Cover is Open,"Scanner cover, ink cover, or jam clear cover is open.",Close cover fully; check cover switch if message remains.
INKJET MFC-J3930DW,49,Jamming,No Paper Fed / Paper Jam,Paper did not feed or is jammed.,Remove paper/jam scraps; fan paper; clean pickup rollers; check rear jam cover.
INKJET MFC-J3930DW,49,Jamming,Unable to Print 35,Paper jam or carriage/paper feed abnormality detected.,"Remove scraps; inspect paper feed rollers, PE sensor and carriage movement."
INKJET MFC-J3930DW,58,No Power,Unable to Init 49,Firmware/main PCB initialization abnormality.,Power-cycle; update firmware; check main PCB if repeated.
INKJET MFC-J3930DW,58,No Power,Unable to Print 68,Temperature or head/board abnormality detected.,"Allow cooling; check print head cable, main PCB, and power supply."
INKJET MFC-J3930DW,62,Paper Feed Problem,Unable to Print 5A,Carriage or paper feed mechanism unable to move correctly.,"Check for obstruction, carriage belt, motor, encoder strip and purge lock."
INKJET MFC-J3930DW,62,Paper Feed Problem,Wrong Paper Size / Paper Size Mismatch,Loaded/requested paper size differs from settings.,"Match tray setting, driver setting, and application page size."
INKJET MFC-J3930DW,102,Others,B&W Print Only / Replace Ink,One or more color inks are empty; machine may allow temporary B&W only.,Replace indicated ink with correct cartridge/bottle; run test print.
INKJET MFC-J3930DW,102,Others,Cannot Detect / Cannot Detect Ink Volume,Ink cartridge/bottle chip or sensor not detected.,"Reinstall ink, clean contacts if cartridge model, verify correct genuine/compatible ink."
INKJET MFC-J3930DW,102,Others,Ink Low / Replace Ink,Ink is low or empty.,Refill/replace the indicated color; never run tank models dry.
INKJET MFC-J3930DW,102,Others,Unable to Clean XX,Purge/maintenance unit cannot complete cleaning.,"Remove paper scraps near platen; check purge unit, cap, wiper, carriage path, and absorber counter if applicable."
